Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Comoros,351136568.4,378512003.4,425964697.4,546885185,633706149.3,653845122.9,698431827.7,795673128.5,915659192.8,905341090.6,907978723.5,1023086184,1015843369,1116224161,1149587652,966029542,1012835518,1077439663,1188797575,1195019559,1223876065,1327964249
Cabo Verde,539227277.6,563024383.3,620974660.2,813963830.2,924318490.8,971977088.2,1107891063,1513933983,1789333749,1711817182,1664310770,1865915544,1741809809,1850470042,1859898513,1596800287,1663008687,1769787215,1966501118,1981845741,1703698677,1936174043
Costa Rica,15013629659,15976174337,16578820687,17271760507,18610594846,20040642477,22715540324,26884700345,30801744881,30745712007,37658614803,42762617082,47231651863,50949672206,52016408951,56441917653,58847016045,60516043590,62420165100,64417670083,62158002233,64282438667
Cuba,30565400000,31682400000,33590500000,35901200000,38203000000,42643836100,48835925926,54262870370,56302129630,57481481481,59562962963,68990000000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,100050000000,103428000000,107352000000,N/A
Cyprus,9985844486,10397897086,11420227885,14547325028,17320552500,18433411267,20072786351,23968764030,27844698989,25945391775,25732432719,27565469098,24978513427,23900872626,23156850007,19842404305,20953442550,22870833710,25522671233,25758357775,24692095945,27719337670
Czechia,61828166496,67808032980,82196001051,100090467581,119814434354,137143471328,156264095665,190183800884,236816485763,207434296805,209069940963,229562733399,208857719321,211685616593,209358834156,188033050460,196272068576,218628940952,248950103352,252498032247,245339322067,282340849857
Germany,1947981991012,1945790973803,2078484517475,2501640388482,2814353869359,2846864211175,2994703642024,3425578382922,3745264093617,3411261212652,3399667820000,3749314991051,3527143188785,3733804649549,3889093051024,3357585719352,3469853463946,3690849152518,3977289455388,3888326788627,3846413928654,4223116205969
Djibouti,551230861.9,572417440.8,591122039.6,622044665.5,666072101.8,708633194.7,768873684,847918929.1,999105339.3,1049110685,1128611700,1239144502,1353632942,2042817163,2214679081,2424391785,2604955229,2762581334,2913466732,3088853639,3181071154,3371102124
Denmark,164158739098,164791442543,178635163717,218096033517,251373002954,264467336457,282884947703,319423424509,353361038818,321241303699,321995279402,344003137611,327148943812,343584391648,352993631618,302673070847,313115929314,332121063806,356841216410,347561349211,356084867686,397104343478
Dominican Republic,24305717542,25601765401,27137508657,21403167848,22322395368,35777570136,37879869898,43965420072,48122547177,48261033298,53860175556,58029750746,60681537196,62682163837,67179914027,71164825257,75704720190,79997975622,85555378043,88941299734,78844702329,94243453937
Algeria,54790392746,54744712815,56760355865,67863828413,85332581189,103198223709,117027307541,134977082624,171000699877,137211035770,161207270185,200013052199,209058991952,209755003251,213810024944,165979279263,160034163871,170097014589,174910878623,171767403748,145009181491,167983141738
Ecuador,18327764882,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,101726331000,99290381000,99937696000,104295862000,107562008000,108108009000,99291124000,106165866000
Egypt,90710704807,99838543960,96684636119,85146067416,80288461538,78782467532,89600665557,107426086957,130437828371,162818181818,189147005445,218983666062,235989672978,279116666667,288434108527,305595408895,329366576819,332441717791,235733695652,249712999437,303080865604,365252651279
Eritrea,706370815.6,752368495.5,729321366.7,870247703.2,1109054005,1098425901,1211161880,1317974491,1380188800,1856695551,1589515447,2065001626,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spain,598363313495,627830029412,708756677089,907491523174,1069055675274,1153715822718,1260398977832,1474002579820,1631863493552,1491472923707,1422108199783,1480710495710,1324744314782,1355142585078,1371222712536,1195599995809,1232912963206,1312539279462,1420994142512,1393046093137,1281484640044,1425276586283
Estonia,5686579748,6254649539,7367975888,9874013098,12145911801,14106790200,17022870405,22449129483,24341678629,19633031398,19523477326,23213994093,23019150071,25115753366,26634083965,22890762090,24072829277,26924385103,30489500905,31045591753,30650285472,36262924354
Ethiopia,8242392104,8231326016,7850809498,8623691300,10131187261,12401139454,15280861835,19707616773,27066912635,32437389116,29933790334,31952763089,43310721414,47648211133,55612228234,64589334979,74296618481,81770791971,84269348327,95912590628,107657734392,111271112330
Finland,126019543413,129533107312,140404460203,171652458349,197479443979,204885494686,217089269792,256378067752,285716311137,253497520829,249424310817,275604356167,258290060228,271362405891,274862826772,234534382385,240771351299,255647979916,275715087495,268508200125,271836962949,299155237589
Fiji,1678239218,1652464201,1833279985,2300453634,2708078477,2980484920,3076305453,3378314600,3523185920,2870624636,3140508836,3774530616,3972012571,4190143206,4856963230,4682546863,4930204230,5353404422,5581371850,5496264766,4574413823,4592118710
France,1365639660792,1377657339291,1501409382971,1844544792037,2119633181634,2196945232436,2320536221305,2660591246212,2930303780828,2700887366932,2645187882117,2865157541994,2683671716967,2811876903329,2855964488590,2439188643163,2472964344587,2595151045198,2790956878747,2728870246706,2630317731455,2937472757953
Kiribati,220140500,233271800,240970900,242517200,245432900,240236000,250281900,253541900,256787200,263145100,280284600,296944100,311301600,327248700,317214400,319271200,316489900,332265200,366666800,401932300,412479413.4,407515928
Gabon,5080483464,5023265365,5335451308,6511903657,7770219480,9582783318,10327598801,12455410056,15571349776,12113699661,14372591916,18210308748,17170465294,17595745653,18203968002,14383107714,14023890620,14929488771,16867325127,16874405840,15316824039,18269350434
United Kingdom,1662127402028,1643908161796,1784076738609,2057093877551,2421814353717,2544829090909,2717059797608,3106182472989,2938882352941,2425798410967,2491110093454,2674891473844,2719158341006,2803291406030,3087165602963,2956573778738,2722851958486,2699016715111,2900791442554,2878673912414,2756900214107,3186859739185
Georgia,3057475335,3219488664,3395728014,3991284895,5125365192,6410823633,7745394293,10172882371,12795076469,10766836277,12243505583,15107441447,16488403076,17189551521,17627003455,14953950557,15141758567,16242916916,17596922470,17470436259,15842922533,18700241392
Ghana,4983024408,5314909954,6166330136,7632406553,8881368538,10744675210,20440893017,24827844950,28678701891,26048108185,32197272797,39337314810,41270954737,62823043706,54782847753,49406568433,56165172899,60406382899,67299280680,68337537816,70043199814,77594279055
Guinea,2995361141,2829435957,2950198649,3446441698,3635458133,2937071767,4220019243,6281917656,6964179194,6716904569,6853467858,6785137173,7638045254,8376613843,8778473615,8794202444,8595955581,10324668267,11857030337,13442861444,14169626010,15850520384
Gambia,814723460.1,782915402.4,687408804.6,578236035.1,487038821.6,961900106.9,1027702254,1054113427,1279704745,1561763437,1450140386,1543292393,1409694554,1415006238,1375608956,1229460602,1378176868,1484579844,1504909753,1670670669,1813608280,1830413000
Guinea-Bissau,371095510,392621385.9,417806667.1,477458598.7,532062927.4,587029054.4,592365688.1,696910810.9,868154708.5,830126470,849878424.2,1099818652,989271229.6,1046087418,1054915645,1048229629,1179004941,1350177128,1504630121,1439638443,1431758243,1638517533
Equatorial Guinea,1045998496,1461139022,1806742742,2484745935,4410764339,8217369093,10086528699,13071718759,19749893536,15027795173,16314442183,21357344847,22388345810,21948835350,21765454404,13185496836,11240809132,12200912828,13097011208,11364134109,10099157270,12269392789
Greece,130457756628,136309295225,154564203587,202370140236,240963562236,247875422204,273546728473,318902829551,355908689477,331308500253,297124961972,282995942007,242029307133,238907690051,235458133125,195683527003,193148146587,199844406014,212049447242,205144152831,188835201626,216240589485
Grenada,520044370.4,520444185.2,540336925.9,591018407.4,599118592.6,695555555.6,698700666.7,758683592.6,825976037,771275555.6,771013259.3,778655925.9,799882259.3,842620111.1,911497407.4,997007925.9,1061640741,1125685185,1166523556,1213485185,1043411111,1122083185
Greenland,1068030830,1086172923,1169138789,1558753434,1822486689,1849805733,2013099482,2249811709,2499107511,2529948330,2503156061,2684467376,2609667674,2684952727,2842048998,2499115623,2707146783,2851610656,3055791341,2994332324,3075968329,N/A
Guatemala,19288827159,18405203853,20444205991,21576351799,23577286227,26783543667,29744368111,33567868323,38503862831,37125943565,40676432029,46876114650,49593961142,52996540704,57852399964,62186186576,66053725049,71654134379,73208583759,77020015201,77604632621,85986321551
Guyana,712667896.7,712167575.6,726131434.7,743064076.8,787814379.2,824880550.3,2379818383,2730971150,3025187924,3165663153,3432913073,3691384318,4063089192,4167800259,4127659492,4279840194,4482697337,4748174334,4787636237,5173760192,5471256595,7409179921
Hong Kong,165768095392,171668164083,169403241524,166349228737,161384522525,169099768875,181570082162,193536265094,211597405594,219279678430,214046415026,228637697575,248513617677,262629441493,275696879835,291459356985,309383627029,320858250776,341273289534,361731070996,363052489184,344881400505
Honduras,7186650135,7651174661,7858235333,8230387552,8869311411,9757034457,10917481688,12361257681,13881701034,14587496229,15839344592,17710315006,18528601901,18499710128,19756494435,20979767785,21717622071,23136232230,24067778954,25089976947,23827840810,28488668302
Croatia,21839780971,23273640257,27074550258,34985749883,41958833541,45780237257,50860788253,60542673503,70750646248,63084004705,60426018629,63169910822,57192346923,58889082315,58330289757,50163192883,52295158344,56214427431,62247874949,62246206341,57203783203,67837788544
Haiti,6813577558,6331961555,6058134467,4826827577,6036959915,7184064657,7518107787,9522763154,10485225353,11597014807,11859315079,13008754111,13708926466,14902474091,15139264670,14833154472,13987693739,15035560373,16455034353,14785839383,14508218017,20944392615
Hungary,47218405892,53749989092,67608919144,85302003908,104141042626,113236711636,115751266695,140227560615,158374419641,131114229049,132231134159,141999960210,128857370477,135732595722,141078984817,125210324613,128636108315,143136245597,160586833778,163526491433,156743134666,182280517581
Indonesia,165021012078,160446947785,195660611165,234772463824,256836875295,285868618224,364570514305,432216737775,510228634992,539580085612,755094160363,892969107923,917869910106,912524136718,890814755233,860854235065,931877364178,1015618742566,1042271531012,1119099868265,1058688935455,1186092991320
India,468394937262,485441014539,514937948870,607699285434,709148514805,820381595513,940259888792,1216735441525,1198895582138,1341886602799,1675615335601,1823049927771,1827637859136,1856722121395,2039127446299,2103587813813,2294797980509,2651472946375,2702929718960,2831552222520,2667687951797,3173397590817
Ireland,100207610430,109346669230,128596035288,164670771260,194372115041,211876989656,232180617162,270079279420,275447471451,236443115854,221876011284,238975558967,225496810957,238279269751,258969649064,291580037584,298928152645,335430829594,385041711506,399122063504,425888950992,498559576715
Iran,113848450088,109591707802,126878750296,128626917504,153544751395,190043433965,226452138292,266298911661,349881601459,412336172447,416397025729,486807615326,626133114527,644035510448,492775565650,460382791826,408212918054,457954614143,486630146444,330991589889,291362916336,231547571240
Iraq,48364250944,36176430129,32928454672,21921569479,36627901762,49954890353,65140147197,88837055195,131614433712,111657581662,138516722650,185749664444,218002481738,234637675129,228415656175,166774109674,166602488748,187217660051,227367469034,233636097800,184369797315,207889333724
Iceland,9025660362,8234846805,9318395055,11429333038,13825302536,16852963067,17465318552,21652505597,18074622987,13154414219,13751161918,15221622926,14751508134,16125060515,17867662178,17517210519,20793168031,24728285177,26267063758,24857740445,21718075725,25458933916
Israel,132455662080,130816321183,121148475242,127046633803,135571348059,142657069100,154145495309,179161786957,216711549610,207953439209,234654589560,262293871093,258417104164,294167366504,310944937638,300078278118,319024417317,355277223507,373641241441,397934596953,407100736594,481591266133
Italy,1146676894210,1168023426056,1276769338449,1577621707051,1806542968546,1858217147204,1949551719390,2213102482751,2408655348719,2199928804119,2136099955237,2294994296590,2086957656822,2141924094299,2162009615997,1836637711061,1877071687634,1961796197354,2091932426267,2011285742552,1892574064222,2099880198259
Jamaica,9005064475,9194717836,9719017926,9430230564,10174664854,11243868486,11930171468,12799593018,13709402085,12120460873,13220556883,14444655300,14807086889,14264202737,13899228824,14188935948,14077109397,14808989993,15730793853,15830768550,13812425037,13638230996
Jordan,8460424401,8975689845,9582453032,10195660790,11411390409,12588665303,15056929760,17110587447,22657662393,24537876056,27133804225,29524149155,31634561690,34454440141,36847643521,38587017887,39892551127,41408960845,42932112676,44502895915,43697659296,45243661972
Japan,4968359075957,4374711694091,4182846045874,4519561645254,4893116005657,4831467035390,4601663122650,4579750920355,5106679115127,5289493117994,5759071769013,6233147172341,6272362996105,5212328181166,4896994405353,4444930651964,5003677627544,4930837369151,5037835383111,5123318151511,5040107754084,4937421880462
Kazakhstan,18291994909,22152694162,24636593223,30833699703,43151647003,57123671734,81003884545,104849886826,133441612247,115308661143,148047348241,192626507972,207998568866,236634552078,221415572820,184388432149,137278320084,166805800596,179339994859,181667190076,171082379533,190814274226
Kenya,12705357103,12986007426,13147743911,14904517650,16095337094,18737897745,25825524821,31958195182,35895153328,42347217913,45405587557,46869457318,56396706006,61671425370,68285768554,70120413329,74815121315,82035800868,92202956321,100379713697,100666542666,110347079517
Kyrgyzstan,1369688498,1525116370,1605643105,1919008090,2211534585,2460248026,2834168889,3802566171,5139957785,4690062255,4794357795,6197766119,6605139933,7335027592,7468096567,6678178340,6813092066,7702934800,8271108638,8871026074,7780874537,8543423503
Cambodia,3654031716,3984000517,4284028483,4658246918,5337833248,6293046162,7274595707,8639235842,10351914093,10401851851,11242275199,12829541141,14054443213,15227991395,16702610842,18049954289,20016747754,22177200512,24571753583,27089389787,25872798012,26961061120
Kiribati,67254174.4,63101272.37,72196457.68,90231856.8,102367039.3,112133944.3,110234939.8,132671743,141042610.3,132419903.3,155299728.5,180665807.2,189630114.9,184550740.1,177862310.4,170291002,178509814.1,188192060.1,196230573.8,177935349.3,180911843.6,N/A
North Korea,497512659612,576178114168,547658231280,627246081417,702717332013,793175007858,934901071333,1053216909888,1172614086540,1047339010225,943941876219,1144066965324,1253223044719,1278427634343,1370795199976,1484318219634,1465773245547,1500111596236,1623901496836,1724845615629,1651422932448,1637895802793
Kuwait,37712842243,34887512227,38137545245,47876510067,59439090601,80798630137,101548931771,114639690359,147395089286,105963168867,115419399860,154068115942,174070382279,174161142454,162631412509,114567298106,109419728567,120707435542,138182400494,136196760181,105960225688,N/A
Lao People's Democratic Republic,1731198022,1768619058,1758176653,2023324407,2366398120,2735558726,3455031448,4223152219,5446434032,5836138127,7131773633,8750107402,10192848926,11983252611,13279248479,14426381187,15912495369,17071162084,18141651381,18740559554,18981800705,18827148530
Lebanon,17260364842,17649751244,19152238806,20082918740,21159827992,21497336499,22022709852,24827355015,29118916106,35399582929,38443907042,39927125961,44016799516,46880103081,48095213746,49929337837,51147308774,53027680686,54901519156,51605959131,25948915861,18076624840
Liberia,874000000,906000000,927000000,748000000,897000000,949000000,1119000000,1373000000,1726000000,1768000000,1998000000,2398000000,2791614000,3177198100,3225652000,3227075700,3398419600,3390703400,3422754800,3319596500,3039982540,3486741370
Libya,38270206950,34110064452,20481889764,26265625000,33122307692,47334148578,60092950670,68035403136,86708074534,60810211408,75380170508,48167374612,92538004280,75350633011,57372445772,48717854040,49910960875,67158415842,76684175824,69252306372,52320215472,41879579677
